latitude,longitude
46.17556,20.72696
46.18749,20.72
46.19167,20.72055
46.23888,20.75333
46.24694,20.76139
46.25944,20.78305
46.26572,20.7959
46.27472,20.82027
46.27722,20.82972
46.27916,20.84639
46.27611,20.86861
46.25472,20.98972
46.24528,21.03611
46.24,21.04833
46.23888,21.05361
46.23917,21.05944
46.24694,21.08083
46.29556,21.17667
46.29916,21.17806
46.32694,21.17861
46.3625,21.18528
46.38139,21.19139
46.39139,21.19722
46.40222,21.20833
46.40833,21.21917
46.46055,21.28889
46.53249,21.29361
46.58805,21.30722
46.59166,21.30889
46.62,21.32666
46.62277,21.32944
46.68194,21.44194
46.68527,21.45
46.68556,21.45472
46.68583,21.4675
46.68453,21.48941
46.68694,21.49389
46.71278,21.52194
46.71861,21.52694
46.72222,21.52833
46.72639,21.52916
46.73,21.52805
46.73472,21.52166
46.74,21.50278
46.74389,21.495
46.74916,21.48917
46.75278,21.48805
46.76305,21.49305
46.81528,21.51972
46.82527,21.52639
46.82805,21.52916
46.83944,21.54556
46.88416,21.61333
46.96139,21.67083
46.99416,21.69194
47.00083,21.69583
47.005,21.69527
47.00805,21.69361
47.01055,21.69028
47.02087,21.6555
47.0225,21.65333
47.02555,21.65167
47.02972,21.65111
47.03249,21.65389
47.07972,21.71
47.09472,21.735
47.10166,21.75139
47.10694,21.77
47.11222,21.78222
47.12028,21.79083
47.185,21.84472
47.19167,21.84861
47.20389,21.84861
47.21194,21.84694
47.21833,21.84333
47.22556,21.84111
47.23472,21.84166
47.23833,21.84305
47.29333,21.86916
47.29972,21.87417
47.35444,21.9225
47.35722,21.92555
47.36138,21.9325
47.36278,21.93722
47.36805,21.9625
47.37,21.98555
47.37167,21.99639
47.37499,22.00472
47.37778,22.0075
47.38083,22.00972
47.38805,22.01305
47.39583,22.01555
47.42528,22.02055
47.44527,22.02194
47.45638,22.01861
47.47305,22.01
47.48416,22.00666
47.49694,22.00611
47.50861,22.01028
47.51444,22.01527
47.5225,22.02389
47.53027,22.0325
47.53694,22.04305
47.57811,22.11801
47.58555,22.15861
47.59111,22.17722
47.59861,22.18639
47.60396,22.18984
47.62666,22.19083
47.63083,22.19194
47.67777,22.22416
47.68083,22.22639
47.72389,22.27055
47.72861,22.27694
47.7475,22.32306
47.79333,22.44527
47.79639,22.45444
47.79694,22.47278
47.79417,22.48944
47.78972,22.50361
47.76805,22.54694
47.76611,22.5575
47.76694,22.595
47.76861,22.61222
47.77166,22.63416
47.77638,22.65361
47.83639,22.77444
47.84166,22.78028
47.84472,22.7825
47.84916,22.78278
47.95454,22.8948
47.95389,22.89611
47.96055,22.93
47.99305,23.04333
48.01111,23.08444
48.01583,23.09111
48.02888,23.09972
48.03972,23.10472
48.05444,23.11083
48.07111,23.11416
48.08194,23.11916
48.08833,23.12389
48.09361,23.12972
48.10416,23.14777
48.10722,23.15694
48.1086,23.16805
48.10805,23.18028
48.09193,23.25639
48.08833,23.265
48.07833,23.27694
48.07222,23.28139
48.04916,23.29361
48.04639,23.29611
48.04388,23.29944
48.03999,23.30722
48.0211,23.35611
48.00055,23.41028
47.97749,23.48055
47.97722,23.4875
47.97833,23.49778
47.98333,23.50916
47.98583,23.51222
47.98934,23.51427
47.99999,23.5661
47.96694,23.82389
47.96139,23.96972
47.95694,24.02667
47.95499,24.03806
47.93805,24.08944
47.93361,24.09639
47.91972,24.10944
47.91528,24.11639
47.91194,24.12555
47.91083,24.13111
47.91,24.13694
47.90361,24.24416
47.90416,24.24972
47.95611,24.4125
47.95916,24.42778
47.95972,24.43333
47.95305,24.55639
47.94583,24.58833
47.93694,24.61
47.90222,24.66805
47.89666,24.67278
47.89278,24.67389
47.88833,24.67333
47.87722,24.66861
47.8725,24.66805
47.86889,24.66889
47.86556,24.67056
47.86028,24.67611
47.84916,24.69389
47.84111,24.71
47.83611,24.72389
47.82055,24.77028
47.81777,24.80278
47.815,24.81278
47.81305,24.81639
47.80805,24.82278
47.79749,24.8325
47.76,24.86333
47.72138,24.89194
47.71861,24.89444
47.71417,24.90139
47.71278,24.90667
47.71166,24.91944
47.71314,24.92892
47.71944,24.95361
47.72222,24.96889
47.72446,24.99951
47.72887,25.02972
47.73333,25.04944
47.74443,25.08555
47.75499,25.11
47.76388,25.12388
47.78443,25.14833
47.79276,25.15694
47.79888,25.16166
47.81667,25.17083
47.82999,25.17944
47.87083,25.2186
47.88137,25.23027
47.88554,25.23777
47.89193,25.25499
47.91527,25.3261
47.91805,25.34166
47.93333,25.50166
47.93471,25.525
47.93582,25.56833
47.93443,25.58861
47.93359,25.64611
47.93499,25.77333
47.9372,25.78333
47.94026,25.79194
47.95527,25.81722
47.96249,25.83333
47.96443,25.84333
47.97471,25.92222
47.9836,26.03722
47.98136,26.115
47.9822,26.15
47.98831,26.16721
47.99554,26.1836
48.00166,26.19472
48.00444,26.19777
48.0761,26.27222
48.16249,26.3225
48.16666,26.3225
48.17277,26.31861
48.17944,26.31555
48.18617,26.31491
48.21721,26.46305
48.21777,26.47472
48.21527,26.49916
48.21166,26.51583
48.20805,26.52417
48.2075,26.52972
48.2086,26.53472
48.22249,26.56778
48.25716,26.635
48.26389,26.70416
48.24944,26.80861
48.24416,26.82583
48.18555,26.95472
48.15555,27.00055
47.98582,27.1586
47.9022,27.20083
47.84582,27.2111
47.78526,27.23832
47.69305,27.28027
47.66138,27.29722
47.6586,27.29944
47.63666,27.32777
47.61698,27.36119
47.56526,27.43333
47.48598,27.47292
47.3661,27.5761
47.31193,27.62833
47.30693,27.63416
47.30248,27.64138
47.29388,27.67944
47.28721,27.71249
47.28721,27.7186
47.28249,27.72527
47.26277,27.74221
47.20499,27.78472
47.20165,27.78611
47.15249,27.79805
47.10249,27.86138
47.04499,27.94
47.04276,27.94389
47.04154,27.95587
